dim,model,accuracy,f1,f1_std,roc_auc
8,logreg,0.9647,0.9649,0.0087,0.9888
8,svm,0.9688,0.9680,0.0095,0.9911
8,tree,0.9318,0.9315,0.0181,0.9318
16,logreg,0.9590,0.9593,0.0133,0.9865
16,svm,0.9711,0.9704,0.0079,0.9907
16,tree,0.8983,0.8980,0.0109,0.8983
32,logreg,0.9058,0.9081,0.0098,0.9655
32,svm,0.9740,0.9733,0.0082,0.9946
32,tree,0.8324,0.8371,0.0054,0.8324
64,logreg,0.8757,0.8789,0.0096,0.9405
64,svm,0.9688,0.9677,0.0093,0.9927
64,tree,0.7803,0.7865,0.0148,0.7803
128,logreg,0.8191,0.8222,0.0164,0.8975
128,svm,0.9572,0.9553,0.0102,0.9918
128,tree,0.6925,0.6966,0.0379,0.6925
256,logreg,0.7468,0.7514,0.0306,0.8144
256,svm,0.9283,0.9226,0.0151,0.9894
256,tree,0.6202,0.6255,0.0103,0.6202
512,logreg,0.6694,0.6799,0.0224,0.7300
512,svm,0.9104,0.9015,0.0106,0.9787
512,tree,0.5786,0.5908,0.0247,0.5786
