,Degree,Weighted_Degree,Betweenness,Closeness,Eigenvector,PageRank
23533,4,2.3753813854359738,0.009746588693957114,0.23684210526315788,0.44475278678408287,0.0564492307442275
146850,3,1.9465604662149176,0.0,0.1894736842105263,0.3594963350402019,0.04369924085176266
23236,4,2.26931959900784,0.01949317738791423,0.23684210526315788,0.396252532797092,0.058184738616503966
5330,5,2.74700718829534,0.028265107212475632,0.2706766917293233,0.5094815391340759,0.069548963454492
5331,3,1.6919986020025801,0.006822612085769979,0.21052631578947367,0.30068802609328615,0.0456261407238984
5294,3,1.6881578739534397,0.0,0.1894736842105263,0.35949633504020195,0.04369924085176266
2792,1,0.5962949448810073,0.0,0.05263157894736842,0.00019595752940562228,0.05
2774,1,0.5962949448810073,0.0,0.05263157894736842,0.00019595752940562228,0.05
3845,1,0.5752472294677635,0.0,0.05263157894736842,0.00019595752940562228,0.05
4893,1,0.5752472294677635,0.0,0.05263157894736842,0.00019595752940562228,0.05
3320,1,0.5618048611666265,0.0,0.05263157894736842,0.00019595752940562228,0.05
3326,1,0.5618048611666265,0.0,0.05263157894736842,0.00019595752940562228,0.05
54331,2,1.0065701333093355,0.0,0.15789473684210525,0.19117608914221518,0.032792444757352796
6118,2,0.9896476421997389,0.0,0.10526315789473684,0.007533265725177468,0.05
6119,2,0.962973380106674,0.0,0.10526315789473684,0.007533265725177468,0.05
6117,2,0.9438790188013524,0.0,0.10526315789473684,0.007533265725177468,0.05
7529,1,0.48229811146504903,0.0,0.05263157894736842,0.00019595752940562228,0.05
7533,1,0.48229811146504903,0.0,0.05263157894736842,0.00019595752940562228,0.05
4343,1,0.4625036277008119,0.0,0.05263157894736842,0.00019595752940562228,0.05
10482,1,0.4625036277008119,0.0,0.05263157894736842,0.00019595752940562228,0.05
